sales_price;area;bedrooms;bathrooms;garage;tax;zip_code;latitude;longitude;subway;botafogo_beach;rio_sul;leme_beach;copacabana_beach;santa_marta
840000.000000;107.000000;3;1;0;1100.000000;22250145;-22.940919;-43.177289;1764.822627;2269.069465;1799.053050;2663.450026;3682.584804;1891.365798
920000.000000;69.000000;2;1;1;990.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
1438800.000000;105.000000;3;3;1;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
1200000.000000;100.000000;3;1;2;1380.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
370000.000000;34.000000;1;1;0;516.000000;22231020;-22.941528;-43.181517;1458.525285;1910.123627;1786.612365;2740.636764;3542.638004;1481.669053
735000.000000;100.000000;3;1;0;844.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
550000.000000;48.000000;1;1;0;565.000000;22260001;-22.949317;-43.184024;613.629933;1167.327557;1111.541312;2130.560584;2658.014638;995.645337
1645060.000000;104.000000;3;1;1;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
1100000.000000;80.000000;2;1;1;1000.000000;22290040;-22.953479;-43.178104;1071.202275;1641.815225;412.791812;1399.096416;2314.724901;1685.752976
981300.000000;68.000000;2;2;1;0.000000;22281036;-22.956109;-43.192422;530.811556;275.079292;1561.583490;2385.519374;2031.561772;836.293805
550000.000000;36.000000;0;1;0;500.000000;22251040;-22.943846;-43.184099;1108.546748;1541.535238;1633.742986;2632.972799;3265.358286;1122.672907
1215200.000000;83.000000;2;3;1;0.000000;22281036;-22.956109;-43.192422;530.811556;275.079292;1561.583490;2385.519374;2031.561772;836.293805
1439000.000000;105.000000;3;3;1;1237.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
1314250.000000;88.000000;2;1;1;0.000000;22270000;-22.950729;-43.181721;740.906975;1326.671323;845.629283;1861.403588;2525.304065;1249.742048
1097100.000000;78.000000;2;2;1;0.000000;22281036;-22.956109;-43.192422;530.811556;275.079292;1561.583490;2385.519374;2031.561772;836.293805
